"Hiragana","Kanji","English","Example","Translation"
"あかるい","明るい","bright","<ruby>私<rt>わたくし</rt></ruby>の<ruby>部屋<rt>へや</rt></ruby>は<ruby>南向き<rt>みなみむき</rt></ruby>なので、<ruby>昼間<rt>ひるま</rt></ruby>はとても<ruby>明るい<rt>あかるい</rt></ruby>です。<ruby>電気<rt>でんき</rt></ruby>をつけなくても<ruby>本<rt>ほん</rt></ruby>が<ruby>読め<rt>よめ</rt></ruby>ます。","My room faces south, so it's very bright during the day. I can read a book without turning on the light."
"あたたかい","暖かい","warm","<ruby>春<rt>はる</rt></ruby>になると、<ruby>暖かい<rt>あたたかい</rt></ruby><ruby>日<rt>ひ</rt></ruby>が<ruby>増え<rt>ふえ</rt></ruby>てきます。<ruby>公園<rt>こうえん</rt></ruby>でピクニックをするのが<ruby>楽しみ<rt>たのしみ</rt></ruby>です。","When spring comes, the warm days increase. I'm looking forward to having a picnic in the park."
"あたらしい","新しい","new","<ruby>新しい<rt>あたらしい</rt></ruby>スマートフォンを<ruby>買い<rt>かい</rt></ruby>ました。カメラの<ruby>性能<rt>せいのう</rt></ruby>がとても<ruby>良く<rt>よく</rt></ruby>て、<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮る<rt>とる</rt></ruby>のが<ruby>楽しい<rt>たのしい</rt></ruby>です。","I bought a new smartphone. The camera performance is very good, and I enjoy taking pictures."
"あつい","暑い","hot (climate)","<ruby>日本<rt>にっぽん</rt></ruby>の<ruby>夏<rt>なつ</rt></ruby>はとても<ruby>暑い<rt>あつい</rt></ruby>です。<ruby>毎日<rt>まいにち</rt></ruby>、エアコンをつけていないと、<ruby>寝る<rt>ねる</rt></ruby>ことができません。","Japanese summers are very hot. I can't sleep every day without turning on the air conditioner."
"あつい","熱い","hot (to touch)","<ruby>熱い<rt>あつい</rt></ruby>お<ruby>茶<rt>ちゃ</rt></ruby>を<ruby>飲む<rt>のむ</rt></ruby>ときは、<ruby>少し<rt>すこし</rt></ruby>ずつ<ruby>飲ん<rt>のん</rt></ruby>でください。<ruby>急い<rt>いそい</rt></ruby>で<ruby>飲む<rt>のむ</rt></ruby>と、<ruby>口<rt>くち</rt></ruby>の<ruby>中<rt>なか</rt></ruby>を<ruby>火傷<rt>やけど</rt></ruby>するかもしれません。","When you drink hot tea, please drink it little by little. If you drink it quickly, you may burn your mouth."
"あぶない","危ない","dangerous","この<ruby>道<rt>みち</rt></ruby>は<ruby>車<rt>くるま</rt></ruby>がたくさん<ruby>通る<rt>とおる</rt></ruby>ので、<ruby>危ない<rt>あぶない</rt></ruby>です。<ruby>気<rt>き</rt></ruby>をつけて<ruby>渡っ<rt>わたっ</rt></ruby>てください。","This road is dangerous because many cars pass by. Please be careful when crossing."
"いい","","good","<ruby>今日<rt>きょう</rt></ruby>はとてもいい<ruby>天気<rt>てんき</rt></ruby>ですね。<ruby>公園<rt>こうえん</rt></ruby>に<ruby>行っ<rt>いっ</rt></ruby>て、<ruby>友達<rt>ともだち</rt></ruby>と<ruby>遊ぶ<rt>あそぶ</rt></ruby>のはどうですか。","The weather is very good today. How about going to the park and playing with friends?"
"いそがしい","忙しい","busy","<ruby>今週<rt>こんしゅう</rt></ruby>は<ruby>仕事<rt>しごと</rt></ruby>がとても<ruby>忙しい<rt>いそがしい</rt></ruby>です。<ruby>週末<rt>しゅうまつ</rt></ruby>になったら、ゆっくり<ruby>休み<rt>やすみ</rt></ruby>たいです。","I am very busy with work this week. When the weekend comes, I want to rest slowly."
"いたい","痛い","painful","<ruby>昨日<rt>きのう</rt></ruby>、<ruby>階段<rt>かいだん</rt></ruby>から<ruby>落ち<rt>おち</rt></ruby>て、<ruby>足<rt>あし</rt></ruby>がとても<ruby>痛い<rt>いたい</rt></ruby>です。<ruby>病院<rt>びょういん</rt></ruby>に<ruby>行っ<rt>いっ</rt></ruby>たほうがいいかもしれません。","I fell down the stairs yesterday, and my leg is very painful. I should probably go to the hospital."
"うるさい","","noisy","<ruby>隣<rt>となり</rt></ruby>の<ruby>部屋<rt>へや</rt></ruby>の<ruby>人<rt>ひと</rt></ruby>が、<ruby>夜<rt>よる</rt></ruby><ruby>遅く<rt>おそく</rt></ruby>まで<ruby>騒い<rt>さわい</rt></ruby>でいて、とてもうるさいです。<ruby>全然<rt>ぜんぜん</rt></ruby><ruby>眠れ<rt>ねむれ</rt></ruby>ません。","The person in the next room is making noise late at night, and it's very noisy. I can't sleep at all."
